Stock,AI,EBS,GOA
Alaska plaice (f),--,272|271|60,--
arrowtooth flounder (f),321|321|136,272|272|236,499|499|448
Atka mackerel (o),192|192|102,--,--
flathead sole (f),149|149|0,328|327|274,315|314|202
northern rock sole (f),--,323|322|71,154|152|74
northern rockfish (r),220|220|118,--,79|79|71
Pacific cod (g),295|295|163,368|367|325,303|303|93
Pacific ocean perch (r),296|296|201,--,289|288|206
rex sole (f),--,--,400|399|209
southern rock sole (f),--,--,204|204|115
walleye pollock (g),275|275|120,373|373|346,432|430|207
yellowfin sole (f),--,252|251|132,--
